hash,time
_0009,3.332164552476671e-05
_000o,4.411094328936408e-05
_000D,3.215135672153571e-05
_000S,5.001544952392578e-05
_0016,3.9727482574664996e-05
_001l,4.288446988990839e-05
_001A,4.5783760011658186e-05
_001P,3.650548646775939e-05
_0023,5.354526195120304e-05
_002i,4.921975682993404e-05
_002x,3.510713577270508e-05
_002M,3.338392886369588e-05
_0030,3.846305789369525e-05
_003f,3.3659881420349804e-05
_003u,3.435892217299518e-05
_003J,3.9265825857524e-05
_003Y,3.79689132110982e-05
_004c,3.8959429814265326e-05
_004r,3.936886787414551e-05
_004G,4.4285732766856315e-05
_004V,3.408250354585194e-05
_0059,3.168401838857916e-05
_005o,3.880123759424964e-05
_005D,3.953312718591025e-05
_005S,3.281294130811504e-05
_0066,3.422873360770089e-05
_006l,4.280805587768555e-05
_006A,2.8643311495986282e-05
_006P,4.919630582215356e-05
_0073,3.407785556460387e-05
_007i,3.448437000143117e-05
_007x,4.211393724970457e-05
_007M,5.0568821454288984e-05
_0080,3.8782755533854164e-05
_008f,3.344217936197917e-05
_008u,3.173649311065674e-05
_008J,3.958687068909172e-05
_008Y,4.736432489359154e-05
_009c,3.545686423060406e-05
_009r,4.8270592322716344e-05
_009G,3.002789206133631e-05
_009V,3.477307253105696e-05
_00a9,3.505868521350169e-05
_00ao,3.51029773091161e-05
_00aD,4.3854000061515745e-05
_00aS,3.7436361436720016e-05
_00b6,4.9200712465772444e-05
_00bl,4.8584662950955906e-05
_00bA,3.5594886457416374e-05
_00bP,4.4030055665133293e-05
_00c3,2.7813754238925137e-05
_00ci,3.125495517376772e-05
_00cx,4.6447471336082175e-05
_00cM,3.692181441035584e-05
_00d0,3.382292660799894e-05
_00df,3.885672642634465e-05
_00du,3.5821637020835395e-05
_00dJ,4.2622830687450764e-05
_00dY,3.1490376926360924e-05
_00ec,4.073080977773279e-05
_00er,4.174709320068359e-05
_00eG,3.726437965535229e-05
_00eV,4.222356911861535e-05
_00f9,6.246064838610198e-05
_00fo,3.522886356837313e-05
_00fD,4.0714263916015625e-05
_00fS,3.6113233451383656e-05
_00g6,3.3198140602744084e-05
_00gl,3.184318542480469e-05
_00gA,3.839682226311671e-05
_00gP,5.1820401063899405e-05
_00h3,3.253486421373155e-05
_00hi,4.041387188819147e-05
_00hx,3.911927342414856e-05
_00hM,4.238193317995233e-05
_00i0,3.6665935390042944e-05
_00if,3.1294646086516205e-05
_00iu,2.625965336871042e-05
_00iJ,2.933663931506419e-05
_00iY,2.253324465644091e-05
_00jc,3.592680532036098e-05
_00jr,2.6188595756810374e-05
_00jG,4.066003335488809e-05
_00jV,2.800293688504201e-05
